seller_id,specialized_product,times_sold,average_review_score,specialized_category
0015a82c2db000af6aaaf3ae2ecb0532,a2ff5a97bf95719e38ea2e3b4105bce8,3,3.6666666666666665,eletroportateis
001cca7ae9ae17fb1caed9dfb1094831,08574b074924071f4e201e151b152b4e,113,3.902542372881356,ferramentas_jardim
001e6ad469a905060d959994f1b41e4f,093cd981b714bcdff182b427d87fc8fc,1,1.0,esporte_lazer
002100f778ceb8431b7a1020ff7ab48f,158102fe543dbaeb84d87811bfe06d0d,17,3.982142857142857,moveis_decoracao
003554e2dce176b5555353e4f3555ac8,67f36b3689147d882d2b298fd0715d80,1,5.0,
004c9cd9d87a3c30c522c48c4fc07416,54af11c815f92135fb554bd9c97dd418,13,4.132947976878612,cama_mesa_banho
00720abe85ba0859807595bbf045a33b,0e14941c183946f60e3b86585d05f984,5,3.6538461538461537,utilidades_domesticas
00ab3eff1b5192e5f1a63bcecfee11c8,362db8a45afd47d3f54c0f34f7c828bc,1,5.0,beleza_saude
00d8b143d12632bad99c0ad66ad52825,e4db070498b75e666a0736eb2f0abcd4,1,5.0,fashion_bolsas_e_acessorios
00ee68308b45bc5e2660cd833c3f81cc,726b4e18f00255e2e63491bcba3f60b8,22,4.3313953488372094,cama_mesa_banho
00fc707aaaad2d31347cf883cd2dfe10,656e0eca68dcecf6a31b8ececfabe3e8,25,3.7375886524822697,informatica_acessorios
010543a62bd80aa422851e79a3bc7540,cd8cb942b6a58fcff9697762d3bc9cd7,2,4.5,informatica_acessorios
010da0602d7774602cd1b3f5fb7b709e,dc3ecc737589882b0318d38cf8b3efaf,5,1.0,moveis_cozinha_area_de_servico_jantar_e_jardim
011b0eaba87386a2ae96a7d32bb531d1,508d48ea59be64138f0015d2cb9c75e7,2,4.0,beleza_saude
01266d4c46afa519678d16a8b683d325,2ad27953852ba0daa0de1213686b7cec,1,5.0,construcao_ferramentas_ferramentas
013900e863eace745d3ec7614cab5b1a,055019def765ce08da9fac0585e927c3,3,4.730769230769231,fashion_calcados
014c0679dd340a0e338872e7ec85666a,d75fe2da6eb275eafad5535fff7a2005,3,3.6666666666666665,moveis_cozinha_area_de_servico_jantar_e_jardim
014d9a685fd57276679edd00e07089e5,47969dd948e918289f809be899ddfb4c,5,3.8333333333333335,papelaria
0176f73cc1195f367f7b32db1e5b3aa8,485977d79fe47209050d22d220aaab7f,7,4.0256410256410255,cama_mesa_banho
01bcc9d254a0143f0ce9791b960b2a47,8097e6d8de77768d9f72295263e440fa,6,4.4,beleza_saude
01c97ebb5cdac52891c0ed1c37ba0012,d6d73c1fe2e8c0e3e90e2421ffa4b963,9,4.083333333333333,informatica_acessorios
01cf7e3d21494c41fb86034f2e714fa1,98e91d0f32954dcd8505875bb2b42cdb,17,4.212121212121212,climatizacao
01ed254b9ff8407dfb9d99ba1e17d923,d285360f29ac7fd97640bf0baef03de0,4,5.0,relogios_presentes
01fd077212124329bac32490e8ef80d9,c1cf541d5b33a4b04ddc1c3be7aa1c86,13,4.3076923076923075,beleza_saude
01fdefa7697d26ad920e9e0346d4bd1b,b8b426747049f2d3d6e00b486d47dedb,42,4.346153846153846,beleza_saude
0241d4d5d36f10f80c644447315af0bd,78efe838c04bbc568be034082200ac20,101,4.278225806451613,moveis_decoracao
0249d282d911d23cb8b869ab49c99f53,89de415e2cf869a6b1274f51913f1a49,5,4.2727272727272725,esporte_lazer
024b564ae893ce8e9bfa02c10a401ece,d9894482fba41f536a273ba2276d951f,6,4.75,market_place
028872bfa080090a9d0abd4f1af168f8,033fe931444d66d788d53aca5b7b22d5,3,5.0,
02a2272692e13558373c66db98f05e2e,2ec4063419591b373f7990da94fb2c6c,1,3.0,telefonia
02b72cdeb9cfcc429f1af6f4e3f3b737,b35c8479840135aa13a0f2d6aa8b7f38,2,4.75,bebes
02c988090b766852e088c69d7fb3b551,b655ebf10fa7727c97d82cffcfe96ab9,5,4.6875,sinalizacao_e_seguranca
02d35243ea2e497335cd0f076b45675d,dc68ee0fcb033a1ab6714fbb5db60c15,14,2.6875,moveis_decoracao
02dcd3e8e25bee036e32512bcf175493,abc3c2e40b0c9b7b115a96bc6c919ae1,6,3.3157894736842106,papelaria
02ecc2a19303f05e59ce133fd923fff7,060e9872b582bceaa83d520807008f1b,2,4.541666666666667,casa_construcao
02f5837340d7eb4f653d676c7256523a,3e4176d545618ed02f382a3057de32b4,24,4.833333333333333,malas_acessorios
02f623a8eb246f3c5f7c2f96462654e6,a8bb7885faf316d9a5062d42d2b2fba4,8,4.558139534883721,esporte_lazer
0307f7565ff85b299b6e5ef162b1b1a9,5c12fb778168a77e3ffc8d7dd7a689fd,2,3.142857142857143,cool_stuff
0336182e1b3e92f029d5354832045fdf,57d9a5d185e8254383504f57c4b8ddcc,1,2.0,moveis_decoracao
034b9387752bfa309f350a70cd45ffa3,fa7e460c8ef762c029b4042723e481c7,7,4.5,brinquedos
038b75b729c8a9a04b0d07cba7eabe86,28dfc4b48aa78bae6d69b43b2742774d,2,3.5,utilidades_domesticas
039b29ff3b3473435d0cd59040575de9,133f594a246e5c52489304a4b5a39830,3,4.444444444444445,musica
039e6ad9dae79614493083e241147386,0466aacbd155769293483722a2e5bead,2,4.0,ferramentas_jardim
03a2a6dcbe45d639c4dc2a0d24769c40,53374f156a1ace240c1db1d30de7f110,2,4.111111111111111,ferramentas_jardim
03bd479e1d9484cdb14104d3023f7321,6a83aaaaace0f050ef46ecf0fbb32854,1,4.333333333333333,automotivo
0417b067eeab773d2f7061a726dc477f,64c8bc3ebf6cc99d1a734c908961c8c8,2,3.923076923076923,automotivo
042573af89b6d931f672efaf789d8358,61ba71a0b111e24da5c8fd2f0e61b0c1,1,3.6666666666666665,eletroportateis
04308b1ee57b6625f47df1d56f00eedf,af0a99476d96dcc1a1baa7c0d9ff6b9d,20,3.882978723404255,beleza_saude
0432ead42b6c8a0bdf68154add917fdf,2d5bb6fc16b9fb75539ddcd93de86aa4,6,4.477777777777778,brinquedos
044668ccd5316b12a7cf0d54a156e3e9,3e935c981d34489d33ea5c721ab2e14c,4,5.0,alimentos
04843805947f0fc584fc1969b6e50fe7,2676f64fccc9174a0c843ecd4dcd44d8,2,5.0,cama_mesa_banho
048c2757535328e0d7dac690ad3c0aae,a2c75a23c2f838881dd4275c0cec519f,9,4.18,fashion_calcados
04aa0a1c5ce6b222003403a3e11c3cc0,441cab1deea761934372ba090ad7cc24,4,3.5294117647058822,automotivo
04aba03279157f6d4e0fe8ccaf21963c,6c712952b8ef62f8d06a0314917400c8,2,4.3125,beleza_saude
04e38a233f726ef161074ab1c9b0399a,d7ceaa970defc5f52f1affda0dc32f30,8,3.7857142857142856,esporte_lazer
04ee0ec01589969663ba5967c0e0bdc0,6bb18295cc019bf3b6dc7c773411d530,1,5.0,artes_e_artesanato
04fdea0c111866e6cf812f1570d6b5bd,ee75970e2871fe4204cf7bcdda61d08a,9,3.2,informatica_acessorios
0509040ea3fe50071181bbc359eb7738,6a2909ac21d16b721e4795e7e8ff3e68,28,4.5,esporte_lazer
052577151711aec5c744fe12e66db3e1,45bb83550ff78aa259858ff41921129a,4,2.25,eletroportateis
054694fa03fe82cec4b7551487331d74,5f1d10ccc8198967ca0278fdfd474a51,3,3.3636363636363638,eletroportateis
056b4ada5bbc2c50cc7842547dda6b51,c10a7001e8b49dfc03817444b5f2ed81,22,4.123076923076923,relogios_presentes
0570350b23eda5444f8d1d9544932058,0f8b90fdd8f2e3b0fca368349e2c298d,6,5.0,perfumaria
05730013efda596306417c3b09302475,43506d2b6b5e0535079f88c7dc51c4de,1,5.0,moveis_decoracao
058cb5aeb36d7c0fcae20fc85d5e0a59,75f6a4f019ec1322758d53b2fee2cc12,3,3.3846153846153846,malas_acessorios
058fd0aa2bfdb2274e05e1ae971dabb6,595fac2a385ac33a80bd5114aec74eb8,18,4.384615384615385,perfumaria
05a48cc8859962767935ab9087417fbb,a7b497445896c24d425d100e4f03d8cd,1,5.0,ferramentas_jardim
05a940b4ecae36cadfd8e93bd9c43257,5aa4825c48568a0e84cbb5a84fe0b533,2,3.9,cool_stuff
05aebce0b5c8f0d41b29b686f2d05fd3,15dc5bc6f0f1e1a0d0255098726060c7,1,5.0,casa_conforto_2
05ca864204d09595ae591b93ea9cf93d,74abe2be0a975b4af328f6e69f8a5ea1,1,5.0,consoles_games
05d2173d43ea568aa0540eba70d2ca76,83cf2637b3c035693ee58369b791d966,7,4.0,automotivo
05e107217c7266362fd44b75b2cd4cc4,0d43f8d3ba891d985e8087bf048d3f85,6,4.125,papelaria
05f51e13da97139648b8125c31e5f51b,7af541d714ea3db608971a40b8f507cb,10,4.095238095238095,bebes
05feb94f19d094d4b0f9281f0b1d4c99,4d0322b5ddf89ce6a3564aca2e261a3a,4,4.5,ferramentas_jardim
05ff92fedb5be47920fea08e501238b9,61a4100ccd6d9c4c808a1fd954ddb8ad,12,4.171875,cool_stuff
062c325cd6a2b87845fab56b4ec2eeae,02ca198b1084a6d8ed9e152d84243bfb,1,5.0,bebes
062ce95fa2ad4dfaedfc79260130565f,3efe696e322f9139e3d2b894cb1f7a09,13,3.966666666666667,moveis_decoracao
06532f10282704ef4c69168b914b77be,c1fe1d0cdc60f0908dd825d2a096f85a,2,4.222222222222222,ferramentas_jardim
06579cb253ecd5a3a12a9e6eb6bf8f47,11dcc970f7a5581e1bf777b6da3f7096,34,3.763888888888889,utilidades_domesticas
066a6914e1ebf3ea95a216c73a986b91,d41d8cd98f00b204e9800998ecf8427e,9,3.9726027397260273,esporte_lazer
0691148aee60ca47977c187804f935ae,ca8b9b8192b5fd79de43cf6480c6cdeb,6,4.0,esporte_lazer
0692610d8abe24f287e9fae90ea0bbee,f8e7dd70e57e37ce842cf20160e56df5,2,4.0,informatica_acessorios
06a2c3af7b3aee5d69171b0e14f0ee87,19c91ef95d509ea33eda93495c4d3481,156,4.00250626566416,beleza_saude
